Land;Preis in c/kWh;Wasserkraft;Solar;Wind;Atom;Erdgas;Kohle;Öl;Sonstiges;Quellen
Irland;21.96;3.2;2.1;33.3;0;41.1;2.8;0.6;16.9; Strompreise: https://de.statista.com/statistik/daten/studie/151260/umfrage//strompreise-fuer-industriekunden-in-europa/
Kroatien;18.41;33.9;4.1;13.4;0;15.1;3.7;0.02;29.78;CO2Faktor Sonstiges ist Durchschnittswert des Strommixes: https://www.iea.org/reports/electricity-2025/emissions
Zypern;18.54;0;19.6;3.7;0;0;0;76;0.7;CO2Faktor ÖL: Quelle:https://www.bafa.de/SharedDocs/Downloads/DE/Energie/eew_infoblatt_co2_faktoren_2022.pdf?__blob=publicationFile&v=6, tabelle 2, Wert für Heizöl schwer
Ungarn;19.61;0.5;18.3;1.3;31.3;14.1;4.3;0.1;30.1;CO2Faktor Rest: Quelle:https://www.ipcc.ch/site/assets/uploads/2018/02/ipcc_wg3_ar5_annex-iii.pdf, Table A.III.2
Slowakei;16.54;18.7;2.5;0;61.3;9.9;1.2;1.1;5.3;Strommix: Quelle: https://lowcarbonpower.org/de/, Stand 2024
Österreich;17.5;59.7;11.5;11.2;0;8.5;2.2;0.8;6.1;
Griechenland;16.42;6.2;18.4;21.7;0;37.7;5.9;8.8;1.3;
Bulgarien;15.61;8.2;14.5;3.9;42.4;5.3;20.9;0.7;4.1;
Deutschland;18.1;5.4;15.4;29.9;0;16.5;22.4;1;9.4;
Italien;15.84;16.9;11.4;7;0;33.9;4;4;22.8;
Rumänien;14.72;27.2;6.6;12.2;19.5;15.2;10.7;1.1;7.5;
Slowenien;15.69;32.9;10.9;0.04;32.9;3;18.7;0.1;1.46;
Niederlande;15.6;0.1;18;27.2;2.8;36.5;8.4;1.1;5.9;
Estland;12.85;0.4;11.9;12.7;0;0;0;0;75;
Litauen;14.28;8.2;0.8;27.8;0;6.3;0;0.8;56.1;
Dänemark;12.48;0.1;11.1;60.4;0;2.6;7;0.2;18.6;
Luxemburg;17.15;21.3;8.3;7.6;0;1;0;0;61.8;
Belgien;13.29;1.8;9.8;16.1;36.3;15.2;2.5;0;18.3;
Polen;12.01;1.8;9.4;16.1;0;11.11;54.6;1.2;5.79;
Spanien;11.78;15;18.2;22.9;19.6;18.2;1.2;3.2;1.7;
Portugal;10.72;30.3;11.5;23.5;0;7.9;0;2;24.8;
Lettland;12.09;45.5;5.7;3.9;0;22.8;0;0;22.1;
Malta;12.11;0;10;0;0;58.3;0;0.2;31.5;
Frankreich;13.27;14;4.4;8.7;66.8;4.9;0.2;0.5;0.5;
Schweden;7.2;38.2;1.8;24.1;28.9;0.1;0.3;0.1;6.5;
Finnland;6.68;16.9;1.4;23.7;37.1;0.8;2.6;0.3;17.2;
Norwegen;4.94;89.1;0.2;9.2;0;0;0.1;0.01;1.39;
CO2Faktor;;24;39;12;12;490;820;288;445;
